MO,46.24,3.76
MOS,45.14,0.6
MPC,115.12,2.32
MPWR,350.61,3
MRK,111.86,2.76
MRO,27.44,0.32
MS,86.11,3.1
MSCI,463.82,5
MSFT,238.73,2.72
MSI,256.63,3.16
MTB,144.56,4.8
MU,50.2,0.46
NDAQ,61.28,0.8
NDSN,236.32,2.6
NEE,84.17,1.7
NEM,47.85,2.2
NI,27.71,0.94
NKE,116.25,1.22
NOC,534.77,6.92
NRG,31.91,1.4
NSC,247.5,4.96
NTAP,59.04,2
NTRS,88.03,3
NUE,136.08,2
NVDA,152.06,0.16
NWL,12.99,0.92
NWS,18.56,0.2
NWSA,18.31,0.2
NXPI,157.67,3.38
O,64.41,2.98
ODFL,286.1,1.2
OGN,27.93,1.12
OKE,65.56,3.74
OMC,80.5,2.8
ORCL,80.85,1.28
OTIS,78.36,1.16
OXY,63.95,0.52
PARA,16.66,0.96
PAYX,116.01,3.16
PCAR,100.55,1.48
PEAK,25.17,1.2
PEG,61.08,2.16
PEP,182.26,4.6
PFE,51.83,1.6
PFG,85.56,2.56
PG,152.62,3.65
PGR,129.44,0.4
PH,290.96,5.32
PHM,45.79,0.6
PKG,128.7,5
PKI,140.63,0.28
PLD,113.62,3.16
PM,101.69,5.08
PNC,155.02,6
PNR,44.4,0.84
PNW,77.93,3.46
POOL,305.6,4
PPG,126.72,2.48
PPL,29.54,0.9
PRU,99.56,4.8
PSA,283.21,8
PSX,103.94,3.88
PWR,144.2,0.28
PXD,229.11,20.35
QCOM,110.84,3
RE,334.92,6.6
REG,62.64,2.5
RF,21.22,0.8
RHI,73.38,1.72
RJF,107.35,1.36
RL,104.36,3
RMD,208.32,1.76
ROK,256.74,4.48
ROL,37.12,0.52
ROP,430.11,2.48
ROST,115.48,1.24
RSG,130.77,1.98
RTX,99.3,2.2
SBAC,282.51,2.84
SBNY,115,2.24
SBUX,98.27,2.12
SCHW,81.77,0.88
SEE,49.96,0.8
SHW,242.67,2.4
SJM,159.44,4.08
SLB,52.99,0.7
SNA,227.74,5.68
SO,71.74,2.72
SPG,117.91,7
SPGI,332.94,3.4
SRE,157.75,4.58
STE,182.06,1.88
STLD,102.59,1.36
STT,77.49,2.52
STX,50.51,2.8
STZ,232.41,3.2
SWK,73.94,3.2
SWKS,88.85,2.48
SYF,32.75,0.92
SYK,242.84,2.78
SYY,78.09,1.96
T,18.31,1.11
TAP,51.93,1.52
TECH,82.73,1.28
TEL,113.95,2.24
TER,86.56,0.44
TFC,42.59,2.08
TFX,248.81,1.36
TGT,143.15,4.32
TJX,79.5,1.18
TMO,540.68,1.2
TPR,37.42,1.2
TRGP,73.36,1.4
TROW,111.12,4.8
TRV,189.48,3.72
TSCO,217.06,3.68
TSN,61.35,1.84
TT,169.95,2.68
TXN,164.38,4.96
TXT,70.41,0.08
UDR,38.75,1.52
UHS,140.76,0.8
UNH,531.31,6.6
UNP,209.91,5.2
UPS,177.01,6.08
USB,43.2,1.92
V,205.83,1.5
VFC,26.07,2
VICI,32.67,1.56
VLO,124.37,3.92
VMC,175.2,1.6
VNO,21.45,2.12
VRSK,175.61,1.24
VTR,45.49,1.8
VTRS,11.01,0.48
VZ,38.41,2.61
WAB,100.49,0.6
WBA,38.63,1.92
WEC,95.48,2.91
WELL,65.07,2.44
WFC,40.98,1.2
WHR,141.62,7
WM,159.21,2.6
WMB,33.32,1.7
WMT,143.77,2.24
WRB,73.45,0.4
WRK,35.46,1
WST,235.13,0.72
WTW,244.39,3.28
WY,31.49,0.72
XEL,70.93,1.95
XOM,108.68,3.52
XRAY,31.83,0.5
XYL,109.73,1.2
YUM,128.9,2.28
ZBH,126.69,0.96
ZION,48.45,1.64
ZTS,145.76,1.3
